"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"ANDELAIN","02016","02800",
"ANGUILCOURT LE SART","02017","02800",
"ANIZY LE GRAND","02018","02320","ANIZY LE CHATEAU"
"ANIZY LE GRAND","02018","02320","FAUCOUCOURT"
"ANIZY LE GRAND","02018","02320","LIZY"
"ANNOIS","02019","02480",
"ANY MARTIN RIEUX","02020","02500",
"ARCHON","02021","02360",
"ARCY STE RESTITUE","02022","02130",
"ARCY STE RESTITUE","02022","02130","BRANGES"
"ARMENTIERES SUR OURCQ","02023","02210",
"ARRANCY","02024","02860",
"ARTEMPS","02025","02480",
"ASSIS SUR SERRE","02027","02270",
"ATHIES SOUS LAON","02028","02840",
"ATTILLY","02029","02490",
"AUBENCHEUL AUX BOIS","02030","02420",
"AUBENTON","02031","02500",
"AUBIGNY AUX KAISNES","02032","02590",
"AUBIGNY EN LAONNOIS","02033","02820",
"AUDIGNICOURT","02034","02300",
"AUDIGNY","02035","02120",
"AUGY","02036","02220",
"AULNOIS SOUS LAON","02037","02000",
"LES AUTELS","02038","02360",
"AUTREMENCOURT","02039","02250",
"AUTREPPES","02040","02580",
"AUTREVILLE","02041","02300",
"AZY SUR MARNE","02042","02400",
"BAGNEUX","02043","02290",
"BANCIGNY","02044","02140",
"BARENTON BUGNY","02046","02000",
"BARENTON CEL","02047","02000",
"BARENTON SUR SERRE","02048","02270",
"BARISIS AUX BOIS","02049","02700",
"BARZY EN THIERACHE","02050","02170",
"BARZY SUR MARNE","02051","02850",
"BASSOLES AULERS","02052","02380",
"VALLEES EN CHAMPAGNE","02053","02330","BAULNE EN BRIE"
"VALLEES EN CHAMPAGNE","02053","02330","LA CHAPELLE MONTHODON"
"VALLEES EN CHAMPAGNE","02053","02330","ST AGNAN"
"BAZOCHES ET ST THIBAUT","02054","02220","BAZOCHES SUR VESLES"
"BAZOCHES ET ST THIBAUT","02054","02220","ST THIBAUT"
"BEAUME","02055","02500",
"BEAUMONT EN BEINE","02056","02300",
"BEAUREVOIR","02057","02110",
"BEAURIEUX","02058","02160",
"BEAUTOR","02059","02800",
"BEAUVOIS EN VERMANDOIS","02060","02590",
"BECQUIGNY","02061","02110",
"BELLEAU","02062","02400",
"BELLENGLISE","02063","02420",
"BELLEU","02064","02200",
"BELLICOURT","02065","02420",
"BENAY","02066","02440",
"BERGUES SUR SAMBRE","02067","02450",
"BERLANCOURT","02068","02250",
"BERLISE","02069","02340",
"BERNOT","02070","02120",
"BERNY RIVIERE","02071","02290",
"BERRIEUX","02072","02820",
"BERRY AU BAC","02073","02190",
"BERTAUCOURT EPOURDON","02074","02800",
"BERTHENICOURT","02075","02240",
"BERTRICOURT","02076","02190",
"BESME","02078","02300",
"BESMONT","02079","02500",
"BESNY ET LOIZY","02080","02870",
"BETHANCOURT EN VAUX","02081","02300",
"BEUGNEUX","02082","02210",
"BEUVARDES","02083","02130",
"BEZU LE GUERY","02084","02310",
"BEZU ST GERMAIN","02085","02400",
"BICHANCOURT","02086","02300",
"BIEUXY","02087","02290",
"BIEVRES","02088","02860",
"BILLY SUR AISNE","02089","02200",
"BILLY SUR OURCQ","02090","02210",
"BLANZY LES FISMES","02091","02160",
"BLERANCOURT","02093","02300",
"BLESMES","02094","02400",
"BOHAIN EN VERMANDOIS","02095","02110",
"BOIS LES PARGNY","02096","02270",
"BONCOURT","02097","02350",
"BONNEIL","02098","02400",
"BONNESVALYN","02099","02400",
"BONY","02100","02420",
"BOSMONT SUR SERRE","02101","02250",
"BOUCONVILLE VAUCLAIR","02102","02860",
"BOUE","02103","02450",
"BOUFFIGNEREUX","02104","02160",
"BOURESCHES","02105","02400",
"BOURG ET COMIN","02106","02160",
"BOURGUIGNON SOUS COUCY","02107","02300",
"BOURGUIGNON SOUS MONTBAVIN","02108","02000",
"LA BOUTEILLE","02109","02140",
"BRAINE","02110","02220",
"BRANCOURT EN LAONNOIS","02111","02320",
"BRANCOURT LE GRAND","02112","02110",
"BRASLES","02114","02400",
"BRAYE EN LAONNOIS","02115","02000",
"BRAYE EN THIERACHE","02116","02140",
"BRAY ST CHRISTOPHE","02117","02480",
"BRAYE","02118","02880",
"BRECY","02119","02210",
"BRENELLE","02120","02220",
"BRENY","02121","02210",
"BRIE","02122","02870",
"BRISSAY CHOIGNY","02123","02240",
"BRISSY HAMEGICOURT","02124","02240",
"BRUMETZ","02125","02810",
"BRUNEHAMEL","02126","02360",
"BRUYERES SUR FERE","02127","02130",
"BRUYERES ET MONTBERAULT","02128","02860",
"BRUYS","02129","02220",
"BUCILLY","02130","02500",
"BUCY LE LONG","02131","02880",
"BUCY LES CERNY","02132","02870",
"BUCY LES PIERREPONT","02133","02350",
"BUIRE","02134","02500",
"BUIRONFOSSE","02135","02620",
"BURELLES","02136","02140",
"BUSSIARES","02137","02810",
"BUZANCY","02138","02200",
"CAILLOUEL CREPIGNY","02139","02300",
"CAMELIN","02140","02300",
"CAMELIN","02140","02300","LOMBRAY"
"LA CAPELLE","02141","02260",
"CASTRES","02142","02680",
"LE CATELET","02143","02420",
"CAULAINCOURT","02144","02490",
"CAUMONT","02145","02300",
"CELLES LES CONDE","02146","02330",
"CELLES SUR AISNE","02148","02370",
"CERIZY","02149","02240",
"CERNY EN LAONNOIS","02150","02860",
"CERNY LES BUCY","02151","02870",
"CERSEUIL","02152","02220",
"CESSIERES SUZY","02153","02320","CESSIERES"
"CESSIERES SUZY","02153","02320","SUZY"
"CHACRISE","02154","02200",
"CHAILLEVOIS","02155","02000",
"CHALANDRY","02156","02270",
"CHAMBRY","02157","02000",
"CHAMOUILLE","02158","02860",
"CHAMPS","02159","02670",
"CHAOURSE","02160","02340",
"LA CHAPELLE SUR CHEZY","02162","02570",
"CHARLY SUR MARNE","02163","02310",
"LE CHARMEL","02164","02850",
"CHARMES","02165","02800",
"CHARTEVES","02166","02400",
"CHASSEMY","02167","02370",
"CHATEAU THIERRY","02168","02400",
"CHATILLON LES SONS","02169","02270",
"CHATILLON SUR OISE","02170","02240",
"CHAUDARDES","02171","02160",
"CHAUDUN","02172","02200",
"CHAUNY","02173","02300",
"CHAVIGNON","02174","02000",
"CHAVIGNY","02175","02880",
"CHAVONNE","02176","02370",
"CHERET","02177","02860",
"CHERMIZY AILLES","02178","02860",
"CHERY CHARTREUVE","02179","02220",
"CHERY LES POUILLY","02180","02000",
"CHERY LES ROZOY","02181","02360",
"CHEVENNES","02182","02250",
"CHEVREGNY","02183","02000",
"CHEVRESIS MONCEAU","02184","02270",
"CHEZY EN ORXOIS","02185","02810",
"CHEZY SUR MARNE","02186","02570",
"CHIERRY","02187","02400",
"CHIGNY","02188","02120",
"CHIVRES EN LAONNOIS","02189","02350",
"CHIVRES VAL","02190","02880",
"CHIVY LES ETOUVELLES","02191","02000",
"CHOUY","02192","02210",
"CIERGES","02193","02130",
"CILLY","02194","02250",
"CIRY SALSOGNE","02195","02220",
"CLACY ET THIERRET","02196","02000",
"CLAIRFONTAINE","02197","02260",
"CLAMECY","02198","02880",
"CLASTRES","02199","02440",
"CLERMONT LES FERMES","02200","02340",
"COEUVRES ET VALSERY","02201","02600",
"COINCY","02203","02210",
"COINGT","02204","02360",
"COLLIGIS CRANDELAIN","02205","02860",
"COLONFAY","02206","02120",
"COMMENCHON","02207","02300",
"CONCEVREUX","02208","02160",
"CONDE EN BRIE","02209","02330",
"CONDE SUR AISNE","02210","02370",
"CONDE SUR SUIPPE","02211","02190",
"CONDREN","02212","02700",
